station1,station2,distance,duration_min,train_type
Abancourt,Amiens,44.6,55,Train
Abancourt,Aumale,8.94,9,Train
Abancourt,Feuquières - Broquiers,5.36,5,Train
Abancourt,Formerie,5.02,3,Train
Abancourt,Fouilloy,6.74,4,Train
Abancourt,Poix-de-Picardie,18.58,11,Train
Abancourt,Serqueux,17.95,11,Train
Abbaretz,Issé,9.71,7,Train
Abbaretz,Nort-sur-Erdre,12.7,9,Train
Abbeville,Amiens,41.82,23,Train
Abbeville,Longpré-les-Corps-Saints,16.21,11,Train
Abbeville,Noyelles-sur-Mer,12.76,8,Train
Abbeville,Pont-Remy,8.1,7,Train
Abbeville,Saint-Roch,40.2,21,Train
Achiet,Albert,17.08,9,Train
Achiet,Arras,17.24,9,Train
Achiet,Courcelles-le-Comte,4.23,3,Train
Achiet,Miraumont,5.15,4,Train
Adamswiller Lotissement la Forêt,Adamswiller Mairie,0.55,1,Train
Adamswiller Lotissement la Forêt,Tieffenbach - Struth,3.45,5,Train
Adamswiller Mairie,Diemeringen,4.24,7,Train
Agay,Anthéor Cap Roux,2.91,3,Train
Agay,Boulouris sur Mer,4.24,4,Train
Agay,Le Dramont,1.8,2,Train
Agay,Le Trayas,7.29,7,Train
Agay,Théoule-sur-Mer,11.21,14,Train
Agde,Béziers,20.12,10,Train
Agde,Marseillan Plage,5.62,4,Train
Agde,Sète,21.43,12,Train
Agde,Vias,3.31,2,Train
Agen,Bordeaux Saint-Jean,115.92,71,Train
Agen,Castelsarrasin,43.57,50,Train
Agen,Lamagistère,18.64,10,Train
Agen,Laroque,13.55,16,Train
Agen,Montauban Ville Bourbon,61.43,34,Train
Agen,Penne,23.99,28,Train
Agen,Port-Sainte-Marie,18.95,10,Train
Agen,Toulouse Matabiau,94.09,68,Train
Agonac,Château-l'Évêque,6.65,4,Train
Agonac,Négrondes,11.03,6,Train
Agonac,Périgueux,11.48,10,Train
Agonac,Thiviers,19.97,12,Train
Aguilcourt - Variscourt,Guignicourt,3.11,3,Train
Aguilcourt - Variscourt,Loivre,6.94,5,Train
Aigle,Bex,7.81,5,Train
Aigle,Villeneuve,9.49,7,Train
Aigrefeuille Le Thou,La Jarrie,6.27,4,Train
Aigrefeuille Le Thou,Surgères,14.78,8,Train
Aiguebelette - Centre,Lépin-le-Lac - La Bauche,3.79,5,Train
Aiguebelette - Centre,Nances Maison du Lac,4.24,8,Train
Aiguebelette-le-Lac,Chambéry - Challes-les-Eaux,9.15,13,Train
Aiguebelette-le-Lac,Lépin-le-Lac - La Bauche,3.82,3,Train
Aiguebelle,Aiton Salle Polyvalente,4.44,7,Train
Aiguebelle,Argentine-Gemelly-ou-Stade,3.52,6,Train
Aiguebelle,Chamousset,7.94,5,Train
Aiguebelle,Saint-Avre - La Chambre,21.19,19,Train
Aiguebelle,Saint-Pierre-d'Albigny,11.81,16,Train
Aiguebelle,Épierre - Saint-Léger,9.7,6,Train
Aigueblanche - Centre,La Léchère-les-Bains - Petit Cœur,2.82,3,Train
Aigueblanche - Centre,Moutiers Lycée,2.54,2,Train
Aigueblanche - Centre,Moûtiers - Salins - Brides-les-Bains,2.46,10,Train
Aigueperse,Aubiat,4.5,4,Train
Aigueperse,Gannat,9.21,7,Train
Aigueperse,Gannat Lycee Eiffel,7.93,10,Train
Aigueperse,Pontmort,8.81,6,Train
Aigueperse,Pontmort RN9-D17,8.26,8,Train
Aigueperse,Riom - Châtel-Guyon,15.12,9,Train
Aigues-Mortes,Le Grau-du-Roi,5.56,7,Train
Aigues-Mortes,Saint-Laurent-d'Aigouze,7.61,6,Train
Aiguillon,Port-Sainte-Marie,6.92,4,Train
Aiguillon,Tonneins,10.61,6,Train
Aillevillers,Bains-les-Bains,8.12,10,Train
Aillevillers,Luxeuil-les-Bains,11.32,10,Train
Aillevillers,Saint-Loup-sur-Semouse,5.57,10,Train
Ailly-sur-Noye,Boves,10.53,7,Train
Ailly-sur-Noye,Breteuil-Embranchement,14.28,8,Train
Ailly-sur-Noye,Dommartin - Remiencourt,5.41,4,Train
Ailly-sur-Noye,La Faloise,6.51,4,Train
Ailly-sur-Noye,Longueau,12.17,8,Train
Ailly-sur-Somme,Dreuil-lès-Amiens,2.69,2,Train
Ailly-sur-Somme,Longpré-les-Corps-Saints,16.9,10,Train
Ailly-sur-Somme,Picquigny,4.54,3,Train
Ailly-sur-Somme,Saint-Roch,7.13,5,Train
Aimargues,Le Cailar,2.18,2,Train
Aimargues,Saint-Laurent-d'Aigouze,4.55,4,Train
Aime - La Plagne,Bourg-Saint-Maurice,11.95,12,Train
Aime - La Plagne,Landry,6.99,6,Train
Aime - La Plagne,Moûtiers - Salins - Brides-les-Bains,11.85,12,Train
Aiserey,Brazey-en-Plaine,5.97,4,Train
Aiserey,Longecourt,3.14,2,Train
Aiserey,Saulon,7.21,14,Train
Aiton Salle Polyvalente,Argentine-Gemelly-ou-Stade,7.08,12,Train
Aiton Salle Polyvalente,Chamousset,3.76,5,Train
Aiton Salle Polyvalente,Saint-Pierre-d'Albigny,7.68,13,Train
Aix-en-Provence,Gardanne,7.58,8,Train
Aix-en-Provence,Marseille Saint-Charles,25.04,40,Train
Aix-en-Provence,Meyrargues,15.46,17,Train
Aix-en-Provence,Pertuis,18.58,45,Train
Aix-en-Provence TGV,Avignon TGV,67.22,19,Train
Aix-en-Provence TGV,Lyon Saint-Exupéry TGV,252.68,65,Train
Aix-en-Provence TGV,Marseille Saint-Charles,17.71,10,Train
Aix-en-Provence TGV,Paris - Gare de Lyon - Hall 1 & 2,640.65,174,Train
Aix-en-Provence TGV,Toulon,61.43,47,Train
Aix-les-Bains - Le Revard,Albens,11.29,8,Train
Aix-les-Bains - Le Revard,Ambérieu-en-Bugey,52.95,44,Train
Aix-les-Bains - Le Revard,Annecy,28.93,25,Train
Aix-les-Bains - Le Revard,Bellegarde,47.31,35,Train
Aix-les-Bains - Le Revard,Chambéry - Challes-les-Eaux,13.02,9,Train
Aix-les-Bains - Le Revard,Chindrieux,13.71,10,Train
Aix-les-Bains - Le Revard,Culoz,20.0,13,Train
Aix-les-Bains - Le Revard,Grésy-sur-Aix,4.16,3,Train
Aix-les-Bains - Le Revard,Grésy-sur-Aix - Le Chevret - Arrêt Ondéa,4.06,14,Train
Aix-les-Bains - Le Revard,Lyon Part Dieu,81.9,69,Train
Aix-les-Bains - Le Revard,Lyon-Part-Dieu - Gare Routière,81.63,87,Train
Aix-les-Bains - Le Revard,Mâcon Loché TGV,109.55,84,Train
Aix-les-Bains - Le Revard,Rumilly,19.68,14,Train
Aix-les-Bains - Le Revard,Seyssel - Corbonod,31.16,24,Train
Aix-les-Bains - Le Revard,Viviers-du-Lac,4.43,4,Train
Aixe-sur-Vienne,Limoges Montjovis,9.44,8,Train
Aixe-sur-Vienne,Saint-Victurnien,13.8,12,Train
Ajain,Guéret,9.8,11,Train
Ajain,Parsac Centre,11.93,11,Train
Alaï,Francheville,2.06,3,Train
Alaï,Écully la Demi-Lune,1.6,4,Train
Albens,Grésy-sur-Aix,7.13,6,Train
Albens,Grésy-sur-Aix - Le Chevret - Arrêt Ondéa,7.23,7,Train
Albens,Rumilly,8.57,5,Train
Albert,Amiens,27.23,17,Train
Albert,Arras,32.79,17,Train
Albert,Buire-sur-l'Ancre,5.6,4,Train
Albert,Corbie,14.68,8,Train
Albert,Miraumont,11.95,7,Train
Albert,Méricourt - Ribemont,7.6,5,Train
Albertville,Chambéry - Challes-les-Eaux,37.79,29,Train
Albertville,Frontenex,7.15,6,Train
Albertville,Grenoble,74.67,56,Train
Albertville,La Bâthie,6.74,8,Train
Albertville,Le Mans,536.85,539,Train
Albertville,Lyon Saint-Exupéry TGV,101.74,130,Train
Albertville,Moutiers Lycée,23.9,19,Train
Albertville,Moûtiers - Salins - Brides-les-Bains,23.73,17,Train
Albertville,Notre-Dame de Briançon,16.28,13,Train
Albertville,Paris - Gare de Lyon - Hall 1 & 2,464.59,208,Train
Albertville,Saint-Pierre-d'Albigny,21.83,16,Train
Albi Madeleine,Albi Ville,1.77,2,Train
Albi Madeleine,Carmaux,12.34,11,Train
Albi Ville,Carmaux,14.1,35,Train
Albi Ville,Gaillac,19.56,12,Train
Albi Ville,Marssac-sur-Tarn,8.94,6,Train
Albi Ville,Tessonnières,16.11,11,Train
Albi Ville,Toulouse Matabiau,64.94,70,Train
Albias,Caussade,10.55,5,Train
Albias,Montauban Ville Bourbon,11.94,7,Train
Albigny - Neuville,Couzon-au-Mont-d'Or,2.92,2,Train
Albigny - Neuville,Lozanne,11.95,9,Train
Albigny - Neuville,Lyon Part Dieu,12.88,10,Train
Albigny - Neuville,Lyon Vaise,10.81,8,Train
Albigny - Neuville,Saint-Germain-au-Mont-d'Or,2.68,2,Train
Albigny-Neuville - Arrêt TCL Gare,Couzon Au Mont D'Or Arret Tcl Gare,2.98,5,Train
Albigny-Neuville - Arrêt TCL Gare,Saint-Germain-au-Mont-d'Or,2.66,4,Train
Alençon,Argentan,35.08,27,Train
Alençon,La Hutte Coulombiers,14.53,8,Train
Alençon,Le Mans,49.23,29,Train
Alençon,Sées,19.13,11,Train
Alençon,Vivoin - Beaumont,22.91,14,Train
Alet-les-Bains Abbaye d'Alet,Couiza - Saint-Anne,6.24,8,Train
Alet-les-Bains Abbaye d'Alet,Limoux,6.98,13,Train
Allaman,Morges,8.22,7,Train
Allaman,Rolle,5.06,4,Train
Allamps E.S.A.T,Barisey-la-Côte Gare,3.29,3,Train
Allassac,Brive-la-Gaillarde,12.6,10,Train
Allassac,Uzerche,21.57,15,Train
Allassac,Vigeois,14.15,10,Train
Allenc,Bagnols - Chadenet,3.16,5,Train
Allenc,Belvezet,7.33,14,Train
Alleyras,Chapeauroux,10.51,21,Train
Alleyras,Monistrol-d'Allier,5.91,15,Train
Alteckendorf Altdorf,Alteckendorf Mairie,0.44,1,Train
Alteckendorf Altdorf,Ettendorf,1.54,2,Train
Alteckendorf Eckendorf,Alteckendorf Mairie,0.61,1,Train
Alteckendorf Eckendorf,Minversheim Rue Principale,1.53,2,Train
Altkirch,Belfort-Ville,28.86,15,Train
Altkirch,Dannemarie,8.56,5,Train
Altkirch,Illfurth,5.92,4,Train
Altkirch,Illfurth Croisement Gare-CD68,5.66,8,Train
Altkirch,Mulhouse,15.04,9,Train
Altkirch,Walheim,2.44,2,Train
Alès,Boucoiran,17.12,11,Train
Alès,Grand-Combe - La Pise,10.02,14,Train
Alès,Nozières - Brignon,19.51,13,Train
Alès,Nîmes Centre,39.81,50,Train
Alès,Saint-Geniès-de-Malgoirès,22.32,15,Train
Amagne - Lucquy,Charleville-Mézières,32.56,22,Train
Amagne - Lucquy,Poix-Terron,18.28,13,Train
Amagne - Lucquy,Rethel,7.83,5,Train
Ambazac,La Jonchère,7.34,4,Train
Ambazac,Les Bardys,5.81,3,Train
Ambazac,Limoges Bénédictins,16.86,10,Train
Ambazac,Saint-Sulpice-Laurière,11.76,9,Train
Amboise,Blois - Chambord,31.53,14,Train
Amboise,Limeray,6.08,4,Train
Amboise,Montlouis,12.77,6,Train
Amboise,Noizay,6.54,4,Train
Amboise,Onzain - Chaumont-sur-Loire,17.27,8,Train
Amboise,Saint-Pierre-des-Corps,19.79,10,Train
Amboise,Tours,21.99,35,Train
Amboise,Veuves - Monteaux,12.29,6,Train
Ambronay - Priay,Ambérieu-en-Bugey,6.44,5,Train
Ambronay - Priay,Pont-d'Ain,4.7,3,Train
Ambronay-Priay RD 1075,Ambérieu-en-Bugey,6.41,8,Train
Ambronay-Priay RD 1075,Pont-d'Ain,4.73,5,Train
Ambérieu-en-Bugey,Bellegarde,40.96,79,Train
Ambérieu-en-Bugey,Bourg-en-Bresse,29.08,16,Train
Ambérieu-en-Bugey,Culoz,35.94,28,Train
Ambérieu-en-Bugey,Lyon Part Dieu,43.15,22,Train
Ambérieu-en-Bugey,Meximieux - Pérouges,12.91,7,Train
Ambérieu-en-Bugey,Pont-d'Ain,11.14,13,Train
Ambérieu-en-Bugey,Saint-Rambert-en-Bugey,7.47,8,Train
Ambérieu-en-Bugey,Tenay - Hauteville,12.81,11,Train
Ambérieu-en-Bugey,Virieu-le-Grand - Belley,26.8,24,Train
Amiens,Arras,55.51,33,Train
Amiens,Chaulnes,36.52,23,Train
Amiens,Corbie,13.93,9,Train
Amiens,Daours,10.82,8,Train
Amiens,Longueau,4.36,3,Train
Amiens,Moreuil,17.44,14,Train
Amiens,Saint-Roch,1.78,2,Train
Amiens,Thézy-Glimont,12.65,13,Train
Amiens,Villers-Bretonneux,15.58,11,Train
Amiens,Étaples - Le Touquet,84.2,90,Train
Amifontaine,Guignicourt,6.65,4,Train
Amifontaine,Saint-Erme,6.06,4,Train
Amilly Ouerray,Chartres,6.87,4,Train
Amilly Ouerray,Saint-Aubin - Saint-Luperce,4.37,3,Train
Amplepuis,Le Coteau,19.49,18,Train
Amplepuis,Roanne - Gare Routière,21.97,35,Train
Amplepuis,Saint-Victor - Thizy,4.98,4,Train
Amplepuis,Tarare,12.53,10,Train
Ancenis,Angers Saint-Laud,47.91,21,Train
Ancenis,Nantes,32.25,17,Train
Ancenis,Oudon,9.08,5,Train
Ancenis,Varades - Saint-Florent-le-Vieil,11.91,6,Train
Ancenis Bis,Oudon,9.08,5,Train
Ancenis Bis,Varades - Saint-Florent-le-Vieil,11.91,7,Train
Anchamps,Laifour,2.68,3,Train
Anchamps,Revin,2.17,3,Train
Anché - Voulon,Saint-Saviol,22.69,11,Train
Anché - Voulon,Vivonne,8.65,5,Train
Anché - Voulon,Épanvilliers,13.85,7,Train
Ancy-sur-Moselle,Ars-sur-Moselle,2.17,2,Train
Ancy-sur-Moselle,Ars-sur-Moselle arrêt TIM République,2.28,5,Train
Ancy-sur-Moselle,Novéant-sur-Moselle,3.31,2,Train
Andelot,Champagnole,12.29,12,Train
Andelot,Frasne,17.8,12,Train
Andelot,Mouchard,16.1,16,Train
Andorre-l'Hospitalet,Mérens-les-Vals,7.98,11,Train
Andorre-l'Hospitalet,Porté-Puymorens,5.98,5,Train
Andrézieux,Bonson,3.05,3,Train
Andrézieux,La Fouillouse,5.49,5,Train
Angers Maître École,Angers Saint-Laud,1.85,2,Train
Angers Maître École,Le Vieux Briollay,12.44,6,Train
Angers Maître École,Tiercé,17.4,9,Train
Angers Saint-Laud,Champtocé-sur-Loire,24.22,15,Train
Angers Saint-Laud,La Ménitré,22.42,11,Train
Angers Saint-Laud,La Possonnière,14.51,8,Train
Angers Saint-Laud,Le Mans,81.41,37,Train
Angers Saint-Laud,Le Vieux Briollay,13.33,9,Train
Angers Saint-Laud,Massy TGV,251.89,74,Train
Angers Saint-Laud,Nantes,79.16,36,Train
Angers Saint-Laud,Paris - Montparnasse - Hall 1 & 2,262.62,81,Train
Angers Saint-Laud,Sablé-sur-Sarthe,44.91,20,Train
Angers Saint-Laud,Saint-Pierre-des-Corps,96.71,50,Train
Angers Saint-Laud,Saumur,42.54,20,Train
Angers Saint-Laud,Savennières - Béhuard,11.86,6,Train
Angers Saint-Laud,Tiercé,18.22,10,Train
Angers Saint-Laud,Trélazé,6.68,4,Train
Angerville,Boisseaux,6.53,4,Train
Angerville,Monnerville,4.61,3,Train
Angerville,Toury,13.95,7,Train
Angerville,Étampes,18.05,10,Train
Angoulins sur Mer,Aytré Plage,2.41,2,Train
Angoulins sur Mer,Châtelaillon,3.79,3,Train
Angoulême,Bordeaux Saint-Jean,107.98,34,Train
