nom,libellecourt,lon,lat,codeinsee
Abbeville,ABB,1.82449,50.10221,80001
Montsûrs,MSW,-0.5506416,48.14149,53043
Assier,AER,1.8697681,44.6746197,46009
Morvillars,MOV,6.93511,47.54952,90072
Carcassonne,CNE,2.351824,43.218029,11069
Artix,ATI,-0.5701881,43.3931062,64061
Arcachon,ARC,-1.16523,44.659009,33009
Pont de Lignon,PJL,4.1372431,45.2597792,43025
Aurec-sur-Loire,AEC,4.1983439,45.3711611,43012
Saint-Hilaire-de-Chaléons,ILA,-1.8650604,47.1057704,44164
Avesnes-sur-Helpe,AVN,3.93295,50.12674,59036
Auch,AUH,0.596661,43.647488,32013
Millas,MYR,2.6937502,42.6888961,66108
Drusenheim,DRS,7.9478463,48.7659128,67106
Beautiran,BIR,-0.45017,44.701041,33037
Bagnols - Chadenet,BCT,3.628178,44.5286125,48037
Les Salelles,SQL,3.2804008,44.4832687,48185
Le Cailar,LCI,4.2354236,43.6834141,30059
Saint-Paul-de-Varax,SVX,5.1282046,46.1000331,01383
Miribel,MIB,4.95394,45.822088,01249
Bourg-en-Bresse,BGB,5.215063,46.200351,01053
Vinay,VNA,5.41005,45.20797,38559
Dijon Porte Neuve,DJP,5.054872,47.322806,21231
Montchanin,MCH,4.4814867,46.7592649,71310
Ax-les-Thermes,AXN,1.8332516,42.7247967,09032
Besançon Mouillère,BNM,6.03391,47.240372,25056
Saint-Vallier sur Rhône,SUO,4.81439,45.186395,26333
La Couronne Carro,CRQ,5.0517077,43.3398078,13056
Besançon Franche-Comté TGV,BFC,5.953195095062256,47.307361058531725,25035
Beaulieu-sur-Mer,BUM,7.331545,43.706651,06011
Étampes,ETP,2.159468,48.436661,91223
Valdahon,LVN,6.342275,47.14975,25578
Caen,CAE,-0.347613,49.176354,14118
Busseau sur Creuse,BUC,2.0229244,46.1230257,23001
Saint-Joseph le Castellas,XJC,5.3770681,43.3518976,13215
Lamanon,LMN,5.0913333,43.6999662,13049
Duppigheim,DUP,7.5868091,48.5439674,67108
Donzère,DOE,4.7046262,44.4433646,26116
Saint-Antoine,SNT,5.3578102,43.3695993,13215
Steinbourg,SNG,7.416299,48.7635292,67478
Cahors,CAH,1.433325,44.449275,46042
Montélimar,MTR,4.744792,44.559079,26198
Niolon,NLO,5.2569415,43.340223,13088
Voreppe,VPE,5.632119,45.290417,38565
Chinon,CHI,0.251538,47.163047,37072
Châbons,CKN,5.4281009,45.4383566,38065
Commercy,CCY,5.58861,48.765749,55122
Servoz,SVZ,6.763444,45.9244592,74143
Chagny,CHY,4.749682,46.907269,71073
Luc,LCZ,3.8915631,44.654092,48086
Champ de Courses d'Enghien,CEG,2.29189,48.97975,95598
Bellignat,BNI,5.6298849,46.2381265,01031
Le Toec,TOE,1.4014496,43.5956037,31555
Le Breuil-sur-Couze,BCZ,3.2621478,45.4670838,63052
Valleiry,VEY,5.96735,46.1092875,74288
