nom,libellecourt,lon,lat,codeinsee
Aachen Hbf,801,6.0912,50.7675,80153452
Abancourt,873,1.774297,49.685621,87313759
Abbaretz,874,-1.524289,47.555241,87481614
Abbeville,873,1.824538,50.102175,87317362
Ablon,875,2.419213,48.725443,87545269
Aboncourt Mairie,871,6.346603,49.261076,87191403
Accolay Le Pont,876,3.709584,47.663798,87677252
Achiet,873,2.780112,50.131919,87342048
Achères Grand Cormier,873,2.091962,48.955187,87386052
Achères Ville,873,2.07739,48.97011,87381657
Adamswiller Lotissement la Forêt,876,7.208238,48.905635,87658856
Adamswiller Mairie,876,7.201179,48.903835,87658922
Agay,877,6.8565,43.43137,87757559
Agde,877,3.466203,43.31728,87781278
Agen,875,0.6208669999999999,44.207967,87586008
Agonac,875,0.748653,45.286605,87595157
Aguilcourt - Variscourt,871,3.973095,49.407994,87171702
Aigle,850,6.96367,46.31685,85014001
Aiglun,877,6.137533,44.046839,87751479
Aigrefeuille Le Thou,874,-0.95168,46.09402,87485193
Aiguebelette - Centre,876,5.812926,45.537542,87695957
Aiguebelette-le-Lac,877,5.813122,45.536323,87741421
Aiguebelle,877,6.306737,45.543703,87741256
Aigueblanche - Centre,877,6.508605,45.501835,87741710
Aigueperse,877,3.197912,46.014869,87734129
Aigues-Mortes,877,4.19121,43.570901,87775858
Aiguillon,875,0.335543,44.298624,87586693
Ailleville,872,4.682252,48.254741,87215624
Aillevillers,871,6.33736,47.91389,87185629
Ailly-sur-Noye,873,2.364147,49.754206,87313221
Ailly-sur-Somme,873,2.200476,49.928515,87313098
Aimargues,877,4.20845,43.678643,87775833
Aime - La Plagne,877,6.648614,45.554387,87741769
Aiserey,877,5.158352,47.170645,87713636
Aiton Salle Polyvalente,877,6.254831,45.560231,87741249
Aix-en-Provence,877,5.44533,43.522903,87751404
Aix-en-Provence TGV,873,5.317534,43.455237,87319012
Aix-les-Bains - Le Revard,877,5.909371,45.688161,87741132
Aixe-sur-Vienne,875,1.145724,45.796573,87592667
Ajain,874,1.99724,46.207153,87417808
Alaï,877,4.771695,45.752428,87722744
Alba-la-Romaine Ruines Romaines,874,4.587551,44.570312,87420836
Albens,877,5.948342,45.785946,87746115
Albert,873,2.644481,50.005395,87313072
Albertville,877,6.383167,45.672977,87741645
Albi Madeleine,876,2.141209,43.938137,87615195
Albi Ville,876,2.137958,43.92238,87615005
Albias,876,1.444922,44.091981,87613398
Albigny - Neuville,877,4.832852,45.874897,87721266
Albigny-Neuville - Arrêt TCL Gare,876,4.833042,45.875356,87697003
Alençon,874,0.09853099999999999,48.433884,87444711
Alet-les-Bains Abbaye d'Alet,876,2.252189,42.997403,87615187
Allaman,850,6.3997,46.47575,85010355
Allamps E.S.A.T,871,5.796812,48.542768,87117465
Allan Menuiserie,872,4.78688,44.50056,87240242
Allassac,875,1.473316,45.258984,87594234
Allenc,877,3.663893,44.541296,87783654
Allex,877,4.913496,44.764001,87769554
Alleyras,877,3.673517,44.919217,87731885
Allée Royale  T13,877,2.078746,48.815443,87710913
Alteckendorf Altdorf,876,7.589267,48.794562,87639955
Alteckendorf Eckendorf,876,7.601602,48.789785,87639930
Alteckendorf Mairie,876,7.594688,48.792818,87639948
Altkirch,871,7.23905,47.627017,87182238
